PQQITYGQJLPDFC-RKQHYHRCSA-N,"女贞子,黄连","3,4-Dihydroxyphenylethyl Alcohol Glucoside"
QOGCASCQGJEYDO-RKQHYHRCSA-N,"女贞子","Cimidahurinine"
WNBCMONIPIJTSB-JSFFLRCESA-N,"桑白皮","6-hydroxy coumarin-7-O-β-D-glucopyranoside"
FBPFZTCFMRRESA-UHFFFAOYSA-N,"昆布,女贞子,熟地黄,冬虫夏草,杜仲,地黄,干地黄","Alexitol Sodium"
PULWRMOKQNWQBD-UJURIKRHSA-N,"丹参","(Z)-3-[2-[(E)-2-(3,4-dihydroxyphenyl)vinyl]-3,4-dihydroxy-phenyl]acrylic acid"
HXCGUCZXPFBNRD-DNLMCPORSA-N,"防风,当归,北沙参","Nodakenin"
SGTCGCCQZOUMJJ-YMILTQATSA-N,"枸杞子","Scopolin"
WZRCQWQRFZITDX-UHFFFAOYSA-N,"附片,附子,生附子","1-(4-Hydroxy-Benzyl)-1,2,3,4-Tetrahydro-Isoquinoline-6,7-Diol"
WZRCQWQRFZITDX-CQSZACIVSA-N,"附子","(R)-Norcoclaurine"
AXDLCFOOGCNDST-VIFPVBQESA-N,"大黄","Rhatannin"
KLPNFWKZLQAVTH-LDCXIIFCSA-N,"北沙参","(3R')-Hydroxymarmesin 4'-O-Β-D-Glucopyranoside"
SGTCGCCQZOUMJJ-ZIRHEVKLSA-N,"枸杞子","Scopolin"
WZRCQWQRFZITDX-CQSZACIVSA-O,"附子","Demethylcoclaurine"
MZNIJRAPCCELQX-IMYOCYDQSA-N,"金银花","methyl chlorogenate"
LINJPFWMHWCNAH-DENIHFKCSA-N,"山慈菇","loroglossin_qt"
VPFUWHKTPYPNGT-UHFFFAOYSA-N,"巴豆","Crotin"
CDRPUGZCRXZLFL-UPHRSURJSA-N,"菝葜","4-[(Z)-2-(3,5-Dihydroxyphenyl)Ethenyl]Benzene-1,2-Diol"
GXSGZLLXMDVQAS-KSWRQPAISA-N,"北五味子","zingerone glucoside"
SBZWTSHAFILOTE-QLFBSQMISA-N,"麻黄","Leucocyanidin"
XIGSAGMEBXLVJJ-YFKPBYRVSA-N,"杜仲","(2S)-2-ammonio-6-ureidohexanoate"
OWBYJSNJVWQEQX-HSZRJFAPSA-N,"甘草","gancaonin T"
ILRCGYURZSFMEG-MQLXINIDSA-N,"淫羊藿,黄芩","salidroside"
HXCGUCZXPFBNRD-NEDVQNLSSA-N,"北沙参,防风","Marmesinin"
RIYORZPRGANLCW-UHFFFAOYSA-N,"枸杞子","Dihydro-N-Caffeoyltyramine"
RSAHICAPUYTWHW-UHFFFAOYSA-N,"五味子","Hexahydrocurcumin"
LWLOALZBDOVWAE-ONEGZZNKSA-N,"皂角刺","Erythro-And Threo-Guaiacylglycerol-Β-Coniferyl Aldehyde Ether"
MATGKVZWFZHCLI-LSDHHAIUSA-N,"牛蒡子,红花","Matairesinol"
HCZKYJDFEPMADG-UHFFFAOYSA-N,"五味子","Nordihydroguaiaretic Acid"
HCZKYJDFEPMADG-TXEJJXNPSA-N,"五味子","Nordihydroguaiaretic Acid"
IKKNRVAESCIIGG-JOCHJYFZSA-N,"山慈菇","Militarin_qt"
KUBCEEMXQZUPDQ-UHFFFAOYSA-O,"麦芽","Hordenine"
LVVKXRQZSRUVPY-OAHLLOKOSA-N,"苦杏仁","Machiline"
